"year","cites","pubid"
2019,7,"fQNAKQ3IYiAC"
2020,11,"fQNAKQ3IYiAC"
2021,11,"fQNAKQ3IYiAC"
2022,5,"fQNAKQ3IYiAC"
2023,5,"fQNAKQ3IYiAC"
2024,5,"fQNAKQ3IYiAC"
2025,5,"fQNAKQ3IYiAC"
2026,3,"fQNAKQ3IYiAC"
2019,4,"M8meJADSprsC"
2020,8,"M8meJADSprsC"
2021,11,"M8meJADSprsC"
2022,10,"M8meJADSprsC"
2023,17,"M8meJADSprsC"
2024,10,"M8meJADSprsC"
2025,11,"M8meJADSprsC"
2026,9,"M8meJADSprsC"
2015,8,"uPCvBZYD9qUC"
2016,5,"uPCvBZYD9qUC"
2017,5,"uPCvBZYD9qUC"
2018,4,"uPCvBZYD9qUC"
2019,7,"uPCvBZYD9qUC"
2020,1,"uPCvBZYD9qUC"
2021,16,"uPCvBZYD9qUC"
2022,7,"uPCvBZYD9qUC"
2023,8,"uPCvBZYD9qUC"
2024,5,"uPCvBZYD9qUC"
2025,7,"uPCvBZYD9qUC"
2026,2,"uPCvBZYD9qUC"
2013,7,"M3NEmzRMIkIC"
2014,5,"M3NEmzRMIkIC"
2015,8,"M3NEmzRMIkIC"
2016,3,"M3NEmzRMIkIC"
2017,5,"M3NEmzRMIkIC"
2018,3,"M3NEmzRMIkIC"
2019,8,"M3NEmzRMIkIC"
2020,7,"M3NEmzRMIkIC"
2021,3,"M3NEmzRMIkIC"
2022,4,"M3NEmzRMIkIC"
2023,7,"M3NEmzRMIkIC"
2024,4,"M3NEmzRMIkIC"
2025,9,"M3NEmzRMIkIC"
2026,3,"M3NEmzRMIkIC"
2016,3,"kvJssbFybhEC"
2017,7,"kvJssbFybhEC"
2018,7,"kvJssbFybhEC"
2019,6,"kvJssbFybhEC"
2020,11,"kvJssbFybhEC"
2021,5,"kvJssbFybhEC"
2022,5,"kvJssbFybhEC"
2023,6,"kvJssbFybhEC"
2024,2,"kvJssbFybhEC"
2025,10,"kvJssbFybhEC"
2026,2,"kvJssbFybhEC"
2016,1,"ZYsTHYU9jrMC"
2017,5,"ZYsTHYU9jrMC"
2018,8,"ZYsTHYU9jrMC"
2019,6,"ZYsTHYU9jrMC"
2020,11,"ZYsTHYU9jrMC"
2021,9,"ZYsTHYU9jrMC"
2022,6,"ZYsTHYU9jrMC"
2023,6,"ZYsTHYU9jrMC"
2024,3,"ZYsTHYU9jrMC"
2025,3,"ZYsTHYU9jrMC"
2026,1,"ZYsTHYU9jrMC"
2008,1,"zYLM7Y9cAGgC"
2009,7,"zYLM7Y9cAGgC"
2010,1,"zYLM7Y9cAGgC"
2011,4,"zYLM7Y9cAGgC"
2012,5,"zYLM7Y9cAGgC"
2013,7,"zYLM7Y9cAGgC"
2014,1,"zYLM7Y9cAGgC"
2015,1,"zYLM7Y9cAGgC"
2016,2,"zYLM7Y9cAGgC"
2017,5,"zYLM7Y9cAGgC"
2018,6,"zYLM7Y9cAGgC"
2019,1,"zYLM7Y9cAGgC"
2020,1,"zYLM7Y9cAGgC"
2021,1,"zYLM7Y9cAGgC"
2022,3,"zYLM7Y9cAGgC"
2023,1,"zYLM7Y9cAGgC"
2024,4,"zYLM7Y9cAGgC"
2025,6,"zYLM7Y9cAGgC"
2013,1,"vRqMK49ujn8C"
2014,4,"vRqMK49ujn8C"
2015,11,"vRqMK49ujn8C"
2016,7,"vRqMK49ujn8C"
2017,4,"vRqMK49ujn8C"
2018,3,"vRqMK49ujn8C"
2019,9,"vRqMK49ujn8C"
2020,4,"vRqMK49ujn8C"
2021,2,"vRqMK49ujn8C"
2022,6,"vRqMK49ujn8C"
2023,1,"vRqMK49ujn8C"
2024,2,"vRqMK49ujn8C"
2025,3,"vRqMK49ujn8C"
2018,3,"bkKuixW_xMkC"
2019,5,"bkKuixW_xMkC"
2020,4,"bkKuixW_xMkC"
2021,6,"bkKuixW_xMkC"
2022,8,"bkKuixW_xMkC"
2023,5,"bkKuixW_xMkC"
2024,7,"bkKuixW_xMkC"
2025,10,"bkKuixW_xMkC"
2026,8,"bkKuixW_xMkC"
2010,2,"RGFaLdJalmkC"
2011,1,"RGFaLdJalmkC"
2012,4,"RGFaLdJalmkC"
2013,4,"RGFaLdJalmkC"
2014,9,"RGFaLdJalmkC"
2015,4,"RGFaLdJalmkC"
2016,5,"RGFaLdJalmkC"
2017,5,"RGFaLdJalmkC"
2018,5,"RGFaLdJalmkC"
2019,1,"RGFaLdJalmkC"
2020,3,"RGFaLdJalmkC"
2021,2,"RGFaLdJalmkC"
2022,1,"RGFaLdJalmkC"
2023,2,"RGFaLdJalmkC"
2024,4,"RGFaLdJalmkC"
2025,1,"RGFaLdJalmkC"
2006,3,"u-x6o8ySG0sC"
2007,4,"u-x6o8ySG0sC"
2008,3,"u-x6o8ySG0sC"
2009,5,"u-x6o8ySG0sC"
2010,1,"u-x6o8ySG0sC"
2011,2,"u-x6o8ySG0sC"
2012,5,"u-x6o8ySG0sC"
2013,2,"u-x6o8ySG0sC"
2014,2,"u-x6o8ySG0sC"
2015,8,"u-x6o8ySG0sC"
2016,4,"u-x6o8ySG0sC"
2017,2,"u-x6o8ySG0sC"
2018,0,"u-x6o8ySG0sC"
2019,1,"u-x6o8ySG0sC"
2020,3,"u-x6o8ySG0sC"
2021,5,"u-x6o8ySG0sC"
2022,2,"u-x6o8ySG0sC"
2023,0,"u-x6o8ySG0sC"
2024,0,"u-x6o8ySG0sC"
2025,1,"u-x6o8ySG0sC"
2011,1,"aqlVkmm33-oC"
2012,3,"aqlVkmm33-oC"
2013,1,"aqlVkmm33-oC"
2014,4,"aqlVkmm33-oC"
2015,3,"aqlVkmm33-oC"
2016,2,"aqlVkmm33-oC"
2017,3,"aqlVkmm33-oC"
2018,10,"aqlVkmm33-oC"
2019,3,"aqlVkmm33-oC"
2020,7,"aqlVkmm33-oC"
2021,4,"aqlVkmm33-oC"
2022,5,"aqlVkmm33-oC"
2023,1,"aqlVkmm33-oC"
2024,3,"aqlVkmm33-oC"
2025,3,"aqlVkmm33-oC"
2017,2,"cx97FdCJQX8C"
2018,7,"cx97FdCJQX8C"
2019,5,"cx97FdCJQX8C"
2020,8,"cx97FdCJQX8C"
2021,5,"cx97FdCJQX8C"
2022,6,"cx97FdCJQX8C"
2023,2,"cx97FdCJQX8C"
2024,9,"cx97FdCJQX8C"
2025,3,"cx97FdCJQX8C"
2016,3,"ZqLB7dQ1iF4C"
2017,1,"ZqLB7dQ1iF4C"
2018,2,"ZqLB7dQ1iF4C"
2019,7,"ZqLB7dQ1iF4C"
2020,5,"ZqLB7dQ1iF4C"
2021,3,"ZqLB7dQ1iF4C"
2022,11,"ZqLB7dQ1iF4C"
2023,3,"ZqLB7dQ1iF4C"
2024,5,"ZqLB7dQ1iF4C"
2025,3,"ZqLB7dQ1iF4C"
2026,3,"ZqLB7dQ1iF4C"
2015,1,"dMpQl7XwOw4C"
2016,1,"dMpQl7XwOw4C"
2017,3,"dMpQl7XwOw4C"
2018,7,"dMpQl7XwOw4C"
2019,5,"dMpQl7XwOw4C"
2020,5,"dMpQl7XwOw4C"
2021,4,"dMpQl7XwOw4C"
2022,0,"dMpQl7XwOw4C"
2023,3,"dMpQl7XwOw4C"
2024,2,"dMpQl7XwOw4C"
2025,10,"dMpQl7XwOw4C"
2026,2,"dMpQl7XwOw4C"
2012,5,"4TOpqqG69KYC"
2013,2,"4TOpqqG69KYC"
2014,3,"4TOpqqG69KYC"
2015,4,"4TOpqqG69KYC"
2016,3,"4TOpqqG69KYC"
2017,4,"4TOpqqG69KYC"
2018,4,"4TOpqqG69KYC"
2019,3,"4TOpqqG69KYC"
2020,3,"4TOpqqG69KYC"
2021,3,"4TOpqqG69KYC"
2022,3,"4TOpqqG69KYC"
2023,1,"4TOpqqG69KYC"
2024,0,"4TOpqqG69KYC"
2025,1,"4TOpqqG69KYC"
2026,1,"4TOpqqG69KYC"
2019,4,"9o6PfxSMcEIC"
2020,5,"9o6PfxSMcEIC"
2021,3,"9o6PfxSMcEIC"
2022,3,"9o6PfxSMcEIC"
2023,9,"9o6PfxSMcEIC"
2024,2,"9o6PfxSMcEIC"
2025,6,"9o6PfxSMcEIC"
2026,4,"9o6PfxSMcEIC"
2019,1,"5F1dSjz1ScoC"
2020,6,"5F1dSjz1ScoC"
2021,5,"5F1dSjz1ScoC"
2022,6,"5F1dSjz1ScoC"
2023,8,"5F1dSjz1ScoC"
2024,4,"5F1dSjz1ScoC"
2025,4,"5F1dSjz1ScoC"
2026,3,"5F1dSjz1ScoC"
2019,1,"MnogvFdIBdwC"
2020,6,"MnogvFdIBdwC"
2021,4,"MnogvFdIBdwC"
2022,7,"MnogvFdIBdwC"
2023,5,"MnogvFdIBdwC"
2024,3,"MnogvFdIBdwC"
2025,8,"MnogvFdIBdwC"
2026,2,"MnogvFdIBdwC"
2011,1,"mS4qin7VKjkC"
2012,4,"mS4qin7VKjkC"
2013,5,"mS4qin7VKjkC"
2014,2,"mS4qin7VKjkC"
2015,1,"mS4qin7VKjkC"
2016,1,"mS4qin7VKjkC"
2017,4,"mS4qin7VKjkC"
2018,5,"mS4qin7VKjkC"
2019,3,"mS4qin7VKjkC"
2020,1,"mS4qin7VKjkC"
2021,2,"mS4qin7VKjkC"
2022,3,"mS4qin7VKjkC"
2023,2,"mS4qin7VKjkC"
2024,0,"mS4qin7VKjkC"
2025,2,"mS4qin7VKjkC"
2023,6,"Np1obAXpBq8C"
2024,8,"Np1obAXpBq8C"
2025,11,"Np1obAXpBq8C"
2026,10,"Np1obAXpBq8C"
2018,1,"lSLsV1MU4ZUC"
2019,5,"lSLsV1MU4ZUC"
2020,3,"lSLsV1MU4ZUC"
2021,6,"lSLsV1MU4ZUC"
2022,8,"lSLsV1MU4ZUC"
2023,2,"lSLsV1MU4ZUC"
2024,2,"lSLsV1MU4ZUC"
2025,6,"lSLsV1MU4ZUC"
2014,2,"sSrBHYA8nusC"
2015,4,"sSrBHYA8nusC"
2016,2,"sSrBHYA8nusC"
2017,3,"sSrBHYA8nusC"
2018,2,"sSrBHYA8nusC"
2019,4,"sSrBHYA8nusC"
2020,7,"sSrBHYA8nusC"
2021,5,"sSrBHYA8nusC"
2022,0,"sSrBHYA8nusC"
2023,1,"sSrBHYA8nusC"
2024,1,"sSrBHYA8nusC"
2025,2,"sSrBHYA8nusC"
2007,2,"Tyk-4Ss8FVUC"
2008,2,"Tyk-4Ss8FVUC"
2009,0,"Tyk-4Ss8FVUC"
2010,2,"Tyk-4Ss8FVUC"
2011,4,"Tyk-4Ss8FVUC"
2012,1,"Tyk-4Ss8FVUC"
2013,2,"Tyk-4Ss8FVUC"
2014,4,"Tyk-4Ss8FVUC"
2015,2,"Tyk-4Ss8FVUC"
2016,1,"Tyk-4Ss8FVUC"
2017,1,"Tyk-4Ss8FVUC"
2018,0,"Tyk-4Ss8FVUC"
2019,1,"Tyk-4Ss8FVUC"
2020,0,"Tyk-4Ss8FVUC"
2021,3,"Tyk-4Ss8FVUC"
2022,3,"Tyk-4Ss8FVUC"
2023,1,"Tyk-4Ss8FVUC"
2024,3,"Tyk-4Ss8FVUC"
2025,0,"Tyk-4Ss8FVUC"
2026,1,"Tyk-4Ss8FVUC"
2008,2,"Y0pCki6q_DkC"
2009,5,"Y0pCki6q_DkC"
2010,1,"Y0pCki6q_DkC"
2011,1,"Y0pCki6q_DkC"
2012,4,"Y0pCki6q_DkC"
2013,3,"Y0pCki6q_DkC"
2014,3,"Y0pCki6q_DkC"
2015,1,"Y0pCki6q_DkC"
2016,0,"Y0pCki6q_DkC"
2017,2,"Y0pCki6q_DkC"
2018,4,"Y0pCki6q_DkC"
2019,0,"Y0pCki6q_DkC"
2020,1,"Y0pCki6q_DkC"
2021,0,"Y0pCki6q_DkC"
2022,0,"Y0pCki6q_DkC"
2023,1,"Y0pCki6q_DkC"
2024,1,"Y0pCki6q_DkC"
2025,3,"Y0pCki6q_DkC"
2019,1,"3pYxbvHKFu8C"
2020,5,"3pYxbvHKFu8C"
2021,4,"3pYxbvHKFu8C"
2022,1,"3pYxbvHKFu8C"
2023,5,"3pYxbvHKFu8C"
2024,1,"3pYxbvHKFu8C"
2025,9,"3pYxbvHKFu8C"
2026,3,"3pYxbvHKFu8C"
2011,1,"Zph67rFs4hoC"
2012,2,"Zph67rFs4hoC"
2013,2,"Zph67rFs4hoC"
2014,4,"Zph67rFs4hoC"
2015,2,"Zph67rFs4hoC"
2016,1,"Zph67rFs4hoC"
2017,4,"Zph67rFs4hoC"
2018,2,"Zph67rFs4hoC"
2019,2,"Zph67rFs4hoC"
2020,1,"Zph67rFs4hoC"
2021,4,"Zph67rFs4hoC"
2022,2,"Zph67rFs4hoC"
2023,2,"Zph67rFs4hoC"
2024,1,"Zph67rFs4hoC"
2025,0,"Zph67rFs4hoC"
2026,1,"Zph67rFs4hoC"
2006,1,"qjMakFHDy7sC"
2007,2,"qjMakFHDy7sC"
2008,4,"qjMakFHDy7sC"
2009,1,"qjMakFHDy7sC"
2010,1,"qjMakFHDy7sC"
2011,0,"qjMakFHDy7sC"
2012,3,"qjMakFHDy7sC"
2013,1,"qjMakFHDy7sC"
2014,2,"qjMakFHDy7sC"
2015,2,"qjMakFHDy7sC"
2016,0,"qjMakFHDy7sC"
2017,1,"qjMakFHDy7sC"
2018,2,"qjMakFHDy7sC"
2019,1,"qjMakFHDy7sC"
2020,1,"qjMakFHDy7sC"
2021,1,"qjMakFHDy7sC"
2022,0,"qjMakFHDy7sC"
2023,1,"qjMakFHDy7sC"
2024,1,"qjMakFHDy7sC"
2025,2,"qjMakFHDy7sC"
2026,1,"qjMakFHDy7sC"
2020,2,"0paDrhnEFY0C"
2021,3,"0paDrhnEFY0C"
2022,4,"0paDrhnEFY0C"
2023,7,"0paDrhnEFY0C"
2024,5,"0paDrhnEFY0C"
2025,3,"0paDrhnEFY0C"
2026,3,"0paDrhnEFY0C"
2019,4,"rDsFeusoTZkC"
2020,7,"rDsFeusoTZkC"
2021,3,"rDsFeusoTZkC"
2022,4,"rDsFeusoTZkC"
2023,4,"rDsFeusoTZkC"
2024,3,"rDsFeusoTZkC"
2025,1,"rDsFeusoTZkC"
2026,1,"rDsFeusoTZkC"
2008,2,"UebtZRa9Y70C"
2009,1,"UebtZRa9Y70C"
2010,1,"UebtZRa9Y70C"
2011,1,"UebtZRa9Y70C"
2012,3,"UebtZRa9Y70C"
2013,1,"UebtZRa9Y70C"
2014,1,"UebtZRa9Y70C"
2015,1,"UebtZRa9Y70C"
2016,1,"UebtZRa9Y70C"
2017,0,"UebtZRa9Y70C"
2018,6,"UebtZRa9Y70C"
2019,0,"UebtZRa9Y70C"
2020,0,"UebtZRa9Y70C"
2021,0,"UebtZRa9Y70C"
2022,0,"UebtZRa9Y70C"
2023,1,"UebtZRa9Y70C"
2024,3,"UebtZRa9Y70C"
2025,2,"UebtZRa9Y70C"
2019,5,"qYOp8iumCsAC"
2020,5,"qYOp8iumCsAC"
2021,3,"qYOp8iumCsAC"
2022,0,"qYOp8iumCsAC"
2023,4,"qYOp8iumCsAC"
2024,1,"qYOp8iumCsAC"
2025,5,"qYOp8iumCsAC"
2017,2,"EsrhoZGmrkoC"
2018,8,"EsrhoZGmrkoC"
2019,1,"EsrhoZGmrkoC"
2020,4,"EsrhoZGmrkoC"
2021,1,"EsrhoZGmrkoC"
2022,0,"EsrhoZGmrkoC"
2023,3,"EsrhoZGmrkoC"
2024,0,"EsrhoZGmrkoC"
2025,2,"EsrhoZGmrkoC"
2026,2,"EsrhoZGmrkoC"
2015,2,"U3qCfcK-7lkC"
2016,3,"U3qCfcK-7lkC"
2017,2,"U3qCfcK-7lkC"
2018,2,"U3qCfcK-7lkC"
2019,4,"U3qCfcK-7lkC"
2020,1,"U3qCfcK-7lkC"
2021,4,"U3qCfcK-7lkC"
2022,0,"U3qCfcK-7lkC"
2023,2,"U3qCfcK-7lkC"
2024,0,"U3qCfcK-7lkC"
2025,0,"U3qCfcK-7lkC"
2026,2,"U3qCfcK-7lkC"
1999,5,"UeHWp8X0CEIC"
2000,1,"UeHWp8X0CEIC"
2001,1,"UeHWp8X0CEIC"
2002,3,"UeHWp8X0CEIC"
2003,0,"UeHWp8X0CEIC"
2004,1,"UeHWp8X0CEIC"
2005,1,"UeHWp8X0CEIC"
2006,1,"UeHWp8X0CEIC"
2007,1,"UeHWp8X0CEIC"
2008,1,"UeHWp8X0CEIC"
2009,0,"UeHWp8X0CEIC"
2010,0,"UeHWp8X0CEIC"
2011,0,"UeHWp8X0CEIC"
2012,0,"UeHWp8X0CEIC"
2013,2,"UeHWp8X0CEIC"
2014,2,"UeHWp8X0CEIC"
2015,1,"UeHWp8X0CEIC"
2016,0,"UeHWp8X0CEIC"
2017,0,"UeHWp8X0CEIC"
2018,0,"UeHWp8X0CEIC"
2019,0,"UeHWp8X0CEIC"
2020,0,"UeHWp8X0CEIC"
2021,1,"UeHWp8X0CEIC"
2020,5,"DwFgw5hZUzMC"
2021,4,"DwFgw5hZUzMC"
2022,2,"DwFgw5hZUzMC"
2023,1,"DwFgw5hZUzMC"
2024,3,"DwFgw5hZUzMC"
2025,3,"DwFgw5hZUzMC"
2026,3,"DwFgw5hZUzMC"
2010,1,"hqOjcs7Dif8C"
2011,3,"hqOjcs7Dif8C"
2012,1,"hqOjcs7Dif8C"
2013,4,"hqOjcs7Dif8C"
2014,0,"hqOjcs7Dif8C"
2015,0,"hqOjcs7Dif8C"
2016,4,"hqOjcs7Dif8C"
2017,0,"hqOjcs7Dif8C"
2018,2,"hqOjcs7Dif8C"
2019,0,"hqOjcs7Dif8C"
2020,2,"hqOjcs7Dif8C"
2021,1,"hqOjcs7Dif8C"
2022,1,"hqOjcs7Dif8C"
2023,0,"hqOjcs7Dif8C"
2024,1,"hqOjcs7Dif8C"
2025,1,"hqOjcs7Dif8C"
2020,2,"gI9wzKcniAoC"
2021,6,"gI9wzKcniAoC"
2022,2,"gI9wzKcniAoC"
2023,5,"gI9wzKcniAoC"
2024,2,"gI9wzKcniAoC"
2025,3,"gI9wzKcniAoC"
2008,1,"LkGwnXOMwfcC"
2009,1,"LkGwnXOMwfcC"
2010,0,"LkGwnXOMwfcC"
2011,2,"LkGwnXOMwfcC"
2012,1,"LkGwnXOMwfcC"
2013,1,"LkGwnXOMwfcC"
2014,1,"LkGwnXOMwfcC"
2015,2,"LkGwnXOMwfcC"
2016,3,"LkGwnXOMwfcC"
2017,1,"LkGwnXOMwfcC"
2018,3,"LkGwnXOMwfcC"
2019,2,"LkGwnXOMwfcC"
2020,1,"LkGwnXOMwfcC"
2021,0,"LkGwnXOMwfcC"
2022,0,"LkGwnXOMwfcC"
2023,1,"LkGwnXOMwfcC"
1999,2,"W7OEmFMy1HYC"
2000,0,"W7OEmFMy1HYC"
2001,0,"W7OEmFMy1HYC"
2002,1,"W7OEmFMy1HYC"
2003,0,"W7OEmFMy1HYC"
2004,0,"W7OEmFMy1HYC"
2005,0,"W7OEmFMy1HYC"
2006,0,"W7OEmFMy1HYC"
2007,2,"W7OEmFMy1HYC"
2008,3,"W7OEmFMy1HYC"
2009,0,"W7OEmFMy1HYC"
2010,1,"W7OEmFMy1HYC"
2011,2,"W7OEmFMy1HYC"
2012,1,"W7OEmFMy1HYC"
2013,4,"W7OEmFMy1HYC"
2014,2,"W7OEmFMy1HYC"
2015,0,"W7OEmFMy1HYC"
2016,2,"W7OEmFMy1HYC"
2016,1,"fF_gHTpLxhAC"
2017,0,"fF_gHTpLxhAC"
2018,1,"fF_gHTpLxhAC"
2019,4,"fF_gHTpLxhAC"
2020,0,"fF_gHTpLxhAC"
2021,5,"fF_gHTpLxhAC"
2022,3,"fF_gHTpLxhAC"
2023,2,"fF_gHTpLxhAC"
2024,0,"fF_gHTpLxhAC"
2025,2,"fF_gHTpLxhAC"
2026,2,"fF_gHTpLxhAC"
2020,1,"djft3U1LymYC"
2021,2,"djft3U1LymYC"
2022,2,"djft3U1LymYC"
2023,3,"djft3U1LymYC"
2024,4,"djft3U1LymYC"
2025,4,"djft3U1LymYC"
2026,1,"djft3U1LymYC"
2009,1,"ULOm3_A8WrAC"
2010,0,"ULOm3_A8WrAC"
2011,0,"ULOm3_A8WrAC"
2012,0,"ULOm3_A8WrAC"
2013,2,"ULOm3_A8WrAC"
2014,3,"ULOm3_A8WrAC"
2015,1,"ULOm3_A8WrAC"
2016,1,"ULOm3_A8WrAC"
2017,1,"ULOm3_A8WrAC"
2018,1,"ULOm3_A8WrAC"
2019,1,"ULOm3_A8WrAC"
2020,0,"ULOm3_A8WrAC"
2021,2,"ULOm3_A8WrAC"
2022,1,"ULOm3_A8WrAC"
2023,0,"ULOm3_A8WrAC"
2024,0,"ULOm3_A8WrAC"
2025,1,"ULOm3_A8WrAC"
2007,3,"5nxA0vEk-isC"
2008,1,"5nxA0vEk-isC"
2009,2,"5nxA0vEk-isC"
2010,0,"5nxA0vEk-isC"
2011,1,"5nxA0vEk-isC"
2012,0,"5nxA0vEk-isC"
2013,0,"5nxA0vEk-isC"
2014,0,"5nxA0vEk-isC"
2015,2,"5nxA0vEk-isC"
2016,1,"5nxA0vEk-isC"
2017,0,"5nxA0vEk-isC"
2018,0,"5nxA0vEk-isC"
2019,1,"5nxA0vEk-isC"
2020,0,"5nxA0vEk-isC"
2021,0,"5nxA0vEk-isC"
2022,1,"5nxA0vEk-isC"
2023,1,"5nxA0vEk-isC"
2024,1,"5nxA0vEk-isC"
